Id,commonName,botanicalName,plantPic,plantsLink,wateringInformation,typeOf,exposure,generalInformation,plantingGuide,pestsDiseases,careGuide
92,Roses,Rosa,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_9705.jpg?itok=44DBZcZV,http://www.almanac.com/plant/roses,3,Flower,Full Sun,"(Though roses are shrubs, we have categorized them with flowers since most people tend to look for them here!)",Roses prefer a near-neutral pH range of 5.5€“7.0. A pH of 6.5 is just about right for most home gardens (slightly acidic to neutral).,Good gardening practices such as removing dead leaves and canes will help reduce pests. Find out which pests are most prevalent in your area by checking with your local nursery. Here are some of the more common problems:,"Watering Roses Diligently water your roses. Soak the entire root zone at least twice a week in dry summer weather. Avoid frequent shallow sprinklings, which won't reach the deeper roots and may encourage fungus. Roses do best with 90 inches of rain per year, so unless you live in a rain forest, water regularly. Roses love water€”but don't drown them. That is, they don't like to sit in water, and they'll die if the soil is too wet in winter. The ideal soil is rich and loose, with good drainage. One of the worst mistakes you can make is to not provide adequate drainage. Use mulch. To help conserve water, reduce stress, and encourage healthy growth, apply a 2- to 4-inch layer of chopped and shredded leaves, grass clippings, or shredded bark around the base of your roses. Allow about an inch of space between the mulch and the base stem of the plant. Feeding Roses Feed roses on a regular basis before and throughout the blooming cycle (avoid chemical fertilizers and pesticides if you're harvesting for the kitchen). Once a month between April and July, apply a balanced granular fertilizer (5-10-5 or 5-10-10). Allow ¾ to 1 cup for each bush, and sprinkle it around the drip line, not against the stem. In May and June, scratch in an additional tablespoon of Epsom salts along with your fertilizer; the magnesium sulfate will encourage new growth from the bottom of the bush. Pruning Roses Prune roses every spring and destroy all old or diseased plant material. Wear elbow-length gloves that are thick enough to protect your hands from thorns or a clumsy slip, but flexible enough to allow you to hold your tools. Always wear safety goggles; branches can whip back when released. Start with pruning shears for smaller growth. Use loppers, which look like giant, long-handle shears, for growth that is more than half an inch thick. A small pruning saw is handy, as it cuts on both the push and the pull. Deadhead religiously and keep beds clean. Every leaf has a growth bud, so removing old flower blossoms encourages the plant to make more flowers instead of using the energy to make seeds. Clean away from around the base of the rosebushes any trimmed debris that can harbor disease and insects. Late in the season, stop deadheading rugosas so that hips will form on the plants; these can be harvested and dried on screens, away from sunlight, then stored in an airtight container. Stop deadheading all your rose plants 3 to 4 weeks before the first hard frost so as not to encourage new growth at a time when new shoots may be damaged by the cold. Winterizing Roses Do not prune roses in the fall. Simply cut off any dead or diseased canes. Stop fertilizing 6 weeks before the first frost but continue watering during dry autumn weather to help keep plants fortified during the dry winter. Mound, mulch, or add compost after a few frosts but before the ground freezes. Where temperatures stay below freezing during winter, enclose the plant with a sturdy mesh cylinder, filling the enclosure with compost, mulch, dry wood chips, pine needles, or chopped leaves. Don't use heavy, wet, maple leaves for mulch. Mulch instead with oak leaves, pine needles, compost, or straw. Clean up the rose beds to prevent overwintering of diseases. One last spray for fungus with a dormant spray is a good idea."
93,Raspberries,Rubus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_4465.jpg?itok=4QM3yjFV,http://www.almanac.com/plant/raspberries,3,Fruit,Full Sun,"Raspberries are naturally inclined to grow in cooler climates, although the development of adaptable varieties has made it possible for gardeners to grow raspberries in many zones. They are relatively easy to grow, and with proper care, can bear fruit indefinitely. Don't limit yourself to the common red raspberry; try growing purple as well!",null,Raspberries are one of the few fruits that are hardly bothered by pests and diseases. (Black raspberries are most susceptible to this type of damage than red or purple.),"Mulching is important throughout the season to conserve moisture and suffocate weeds. Keep a thick layer of mulch surrounding plants at all times. Water one inch per week. The roots send up an abundant amount of shoots, called canes. Keep order by pruning away the majority of them so that the survivors can produce lots of berries. Pruning Summer-Bearers produce berries on two year old canes while one year old canes grow right beside them. You shouldn't have trouble telling which is which: the older canes have brown stems, and the young ones are still green. Prune only the older ones, the ones that have finished their fruitful year. Prune in the fall. Leave about 6 of the thickest, strongest green canes. Keep plant contained to a 19-inch wide space. Left alone without care all summer, neat rows will become thickets. Cut off all canes that grow sideways. Ever-Bearers require less care: Mow them to the ground in the fall, after you finish picking. (For a small patch, pruning shears will do.) Clean up all debris€”diseases and pests overwinter. Pruning is not required during the growing season unless you want to keep a uniform order."
94,Morning Glories,Ipomoea,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/morning_glory_blue_closeup_.jpg?itok=PcfrFve7,http://www.almanac.com/plant/morning-glories,1,Flower,Full Sun,Where to buy morning glory seeds: Burpee Gardening,null,null,Apply a balanced liquid fertilizer after planting and monthly. Support climbers and trailing species. Morning glories are low-maintenance. Water during dry periods. Mulch to retain moisture and avoid weeds.
95,Delphiniums,Delphinium,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/delphinium.jpg?itok=2pyhbT76,http://www.almanac.com/plant/delphiniums,3,Flower,Full Sun,"Delphiniums are perennials grown for their showy spikes of colorful summer flowers in gorgeous shades of blue, pink, white, and purple. They are popular in cottage-style gardens and cutting gardens.",null,null,"Insert supports no later than midspring or when the plants reach 12 inches high. Stake the low-growing perennials with twiggy, brushwood support. The taller, large-flowered delphiniums need sturdy stakes.Soil should not dry out. Water plants during the summer if rainfall is less than 1 inch per week.For good-quality flower spikes, thin shoots when 3 inches high; leave a minimum of 2 or 3 shoots on young plants, and 5 to 7 shoots on well-established ones.In growth, water all plants freely, applying a balanced liquid fertilizer every 2 to 3 weeks.Deadhead by cutting spent flower spikes back to small, flowering side shoots.After delphiniums have finished blooming, cut flower stalks to the ground, and new, though smaller, flower stalks will develop. The flowers will survive the coming cold days and even light frosts.If delphiniums need to be divided in the spring, remove and replant the new little plants growing around the outside of the clump. Discard the hard old heart."
96,Coneflowers,Echinacea,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/coneflowers_0.jpg?itok=e_eVQ3oq,http://www.almanac.com/plant/coneflowers,2,Flower,Full Sun,"Coneflowers are bright perennials, some of which are used in herbal remedies. These flowers are easy to care for, relatively drought-tolerant, and are good for cut flowers. Coneflowers are daisy-like with raised centers. The seeds found in the dried flower head also attract songbirds to your garden.",null,,"In the spring, put a thin layer of compost around the plants, then a 2“inch layer of mulch to help keep the plants moist and prevent weeds.If you receive less than an inch of rain a week, water your plants regularly during the summer.If your plants are floppy, cut them to the ground after they flower.Remember to cut off the dead/faded flowers to prolong to blooming season and prevent excessive self-seeding. To attract birds, keep the late-season flowers on the plants to mature.Divide your plants into clumps every 3 to 4 years in spring or autumn, although coneflowers do not like excessive disturbance."
97,Apples,Malus domestica,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/apple-tree.jpg?itok=kwZ3F9IX,http://www.almanac.com/plant/apples,2,Fruit,Full Sun,Ever wish you could have an apple orchard in your backyard? You can€”in the space of a single tree€”if you plant a hedge of dwarf apple trees or an apple espalier.,"Take a soil test prior to planting your apple trees. Your local County Extension Center can instruct you in collecting the soil sample, help you interpret the results, and provide valuable information about the soil in your county. Results from the soil test will determine the soil amendments necessary to correct nutrient deficiencies and adjust soil pH. The amendments should be worked into the soil to a depth of 12 to 18 inches where the tree will root, not just the planting hole.",Apples are prone to pests. Here are some pointers:,"Minimize Pruning of a Young TreePruning slows a young tree's overall growth and can delay fruiting, so don't be in a hurry to prune, other than removing misplaced, broken, or dead branches. There are several techniques to direct growth without heavy pruning. For example:Rub off misplaced buds before they grow into misplaced branches.Bend a stem down almost horizontally for a few weeks to slow growth and promote branches and fruiting. Tie down with strings to stakes in the ground or to lower branches.Prune a Mature Tree AnnuallyOnce an apple tree has filled in and is bearing fruit, it requires regular, moderate pruning.Prune your mature tree when it is dormant. Completely cut away overly vigorous, upright stems (most common high up in the tree).Remove weak twigs (which often hang from the undersides of limbs.Shorten stems that become too droopy, especially those low in the tree.After about ten years, fruiting spurs (stubby branches that elongate only about a half-inch per year) become overcrowded and decrepit. Cut away some of them and shorten others.When a whole limb of fruiting spurs declines with age, cut it back to make room for a younger replacement.Thin RuthlesslyThin or remove excess fruit. This seems hard but this practice evens out production, prevents a heavy crop from breaking limbs, and ensures better-tasting, larger fruit crop.Soon after fruit-set, remove the smallest fruits or damaged ones,leaving four inches between those that remain."
98,Garlic,Allium sativum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/garlic.jpg?itok=g0UV9sQo,http://www.almanac.com/plant/garlic,2,Vegetable,Full Sun,"Garlic is easy to grow and produces numerous bulbs after a long growing season. It is frost tolerant. Beyond its intense flavor and culinary uses, €œthe stinking rose€ is good in the garden as an insect repellent and has been used for centuries as a home remedy.",null,"Garlic has very few problems with pests in the garden (in fact, its a natural pest repellent!), and also very few problems with the diseases that plague other veggies. White Rot is one concern, but you should also keep an eye out for the same pests that plague onions.","""Northern gardeners should mulch heavily with straw for overwintering.Mulch should be removed in the spring after the threat of frost has passed. (Young shoots can't survive in temps below 20°F on their own. Keep them under cover.)Cut off any flower shoots that emerge in spring. These may decrease bulb size.Weeds should not be a problem until the spring. Weed as needed.Garlic requires adequate levels of nitrogen. Fertilize accordingly, especially if you see yellowing leaves.Water every 3 to 5 days during bulbing (mid-May through June).A note on garlic scapes: Some folks love cooking the scapes (the tops of hardneck garlic). Whether you trim the scapes or let them keep growing is your preference. We like to stir fry scapes the way we cook green beans similar with a spicy kick!"""
99,Pumpkins,"Cucurbita maxima, C. moschata, C. argyrosperma",http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/rowofpumpkins.jpg?itok=f8e5slLF,http://www.almanac.com/plant/pumpkins,1,Vegetable,Full Sun,"Whether you use them for carving or cooking, pumpkins do not disappoint.",null,null,"Use row covers to protect plants early in the season and to prevent insect problems. However, remember to remove covers before flowering to allow pollination by insects!Pumpkins are very thirsty plants and need lots of water. Water one inch per week. Water deeply, especially during fruit set.When watering: Try to keep foliage and fruit dry unless it's a sunny day. Dampness will make rot more likely.Add mulch around your pumpkins to keep in moisture, suppress weeks, and discourage pests.Remember that pumpkins are tender from planting to harvest. Control weeds with mulch. Do not overcultivate, or their very shallow roots may be damaged.Most small vine varieties can be trained up a trellis.Larger varieties can be trained upward on a trellis, too€”though it is an engineering challenge to support the fruit€”usually with netting or old stockings.If your first flowers aren't forming fruits, that's normal. Both male and female blossoms need to open. Be patient.Bees are essential for pollination, so be mindful when using insecticides to kill pests. If you must use, apply only in late afternoon or early evening when blossoms are closed for the day. Pumpkin vines, though obstinate, are very delicate. Take care not to damage vines, which reduces the quality of fruit. Pump Up Your Pumpkins! Pumpkins are HEAVY feeders. Regular treatments of manure or compost mixed with water will sustain good growth. Fertilize on a regular basis. Use a high nitrogen formula in early plant growth. Fertilize when plants are about one foot tall, just before vines begin to run. Switch over to a fertilizer high in phosphorous just before the blooming period. Pinch off the fuzzy ends of each vine after a few pumpkins have formed. This will stop vine growth so that the plant's energies are focused on the fruit. Pruning the vines may help with space as well as allow the plant's energy to be concentrated on the remaining vines and fruit. Gardeners who are looking for a €œprize for size€ pumpkin might select the two or three prime candidates and remove all other fruit and vines. As the fruit develops, they should be turned (with great care not to hurt the vine or stem) to encourage an even shape. Slip a thin board or a piece of plastic mesh under the pumpkins."
100,Hyacinths,Hyacinthus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/hyacinth.jpg?itok=ITQXja1P,http://www.almanac.com/plant/hyacinths,1,Flower,Full Sun,"Hyacinth bulbs are planted in the fall and borne in spring. The Victorians revered hyacinths for their sweet, lingering fragrance, and carefully massed them in low beds, planting in rows of one color each.",null,null,"Water hyacinths in the event of a dry autumn. Protect container-grown plants from excessive winter moisture. After plants are finished flowering in spring, cut back flower stalks but allow the leaves to die back naturally."
101,Squash & Zucchini,Cucurbita,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/zucchini.jpg?itok=Oqnwqye_,http://www.almanac.com/plant/squash-zucchini,2,Vegetable,Full Sun,"Squash is a seasonal vegetable. It is very susceptible to frost and heat damage, but with proper care it will produce a bumper crop with very few plants.",null,Squash Bug (link to pest page),"Mulch plants to protect shallow roots, discourage weeds, and retain moisture. When the first blooms appear, apply a small amount of fertilizer as a side dress application. For all type of squash, frequent and consistent watering is recommended. Water most diligently when fruits form and throughout their growth period. Water deeply once a week, applying at least one inch of water. Do not water shallowly; the soil needs to be moist 4 inches down. After harvest begins, fertilize occasionally for vigorous growth and lots of fruits. If your fruits are misshapen, they might not have received enough water or fertilization."
